smooth_h,smooth_b,dist_max_h,dist_max_l,trades,pf,wr,equity,max_dd
3,5,225,75,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,225,125,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,225,175,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,225,225,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,225,275,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,275,75,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,275,125,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,275,175,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,275,225,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,275,275,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,3,75,75,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,75,125,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,75,175,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,75,225,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,75,275,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,125,75,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,125,125,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,125,175,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,125,225,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,125,275,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,175,75,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,175,125,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,175,175,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,175,225,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,175,275,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,225,75,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,225,125,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,225,175,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,225,225,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,225,275,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,275,75,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,275,125,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,275,175,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,275,225,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
3,3,275,275,2771,1.1010535558742758,0.4687838325514255,4383.527316713139,2843.7673996125195
2,3,75,75,2966,1.100324902389827,0.4629130141604855,4604.570791714599,3567.732739130346
2,3,75,125,2966,1.100324902389827,0.4629130141604855,4604.570791714599,3567.732739130346
2,3,75,175,2966,1.100324902389827,0.4629130141604855,4604.570791714599,3567.732739130346
