trade_id,side,signal_bar_ts,entry_bar_ts,entry_day_of_week,entry_hour_utc,entry_price,initial_stop,exit_bar_ts,exit_day_of_week,exit_hour_utc,exit_price,exit_reason,pnl_points,risk_points,rr_multiple,bars_in_trade
38,short,2026-03-04T14:45:00Z,2026-03-04T14:50:00Z,Wednesday,14,24896.0,24939.5,2026-03-04T14:50:00Z,Wednesday,14,24939.5,stop,-43.5,43.5,-1.0,1
39,short,2026-03-04T16:10:00Z,2026-03-04T16:15:00Z,Wednesday,16,25071.5,25114.5,2026-03-04T16:25:00Z,Wednesday,16,25114.5,stop,-43.0,43.0,-1.0,3
40,short,2026-03-04T19:15:00Z,2026-03-04T19:20:00Z,Wednesday,19,25208.0,25216.0,2026-03-04T21:05:00Z,Wednesday,21,25140.5,opposite_signal,67.5,8.0,8.4375,22
41,long,2026-03-04T23:05:00Z,2026-03-04T23:10:00Z,Wednesday,23,25169.5,25150.75,2026-03-04T23:15:00Z,Wednesday,23,25150.75,stop,-18.75,18.75,-1.0,2
42,short,2026-03-04T23:55:00Z,2026-03-05T00:00:00Z,Thursday,0,25171.0,25177.0,2026-03-05T00:00:00Z,Thursday,0,25177.0,stop,-6.0,6.0,-1.0,1
43,long,2026-03-06T07:00:00Z,2026-03-06T07:05:00Z,Friday,7,25112.25,25105.0,2026-03-06T07:05:00Z,Friday,7,25105.0,stop,-7.25,7.25,-1.0,1
44,short,2026-03-09T13:35:00Z,2026-03-09T13:40:00Z,Monday,13,24398.75,24493.5,2026-03-09T14:35:00Z,Monday,14,24493.5,stop,-94.75,94.75,-1.0,12
45,short,2026-03-09T16:05:00Z,2026-03-09T16:10:00Z,Monday,16,24662.25,24674.5,2026-03-09T16:20:00Z,Monday,16,24674.5,stop,-12.25,12.25,-1.0,3
46,long,2026-03-09T22:10:00Z,2026-03-09T22:15:00Z,Monday,22,24935.5,24905.5,2026-03-09T22:15:00Z,Monday,22,24905.5,stop,-30.0,30.0,-1.0,1
47,long,2026-03-10T00:15:00Z,2026-03-10T00:20:00Z,Tuesday,0,24885.25,24841.0,2026-03-10T01:20:00Z,Tuesday,1,24963.25,opposite_signal,78.0,44.25,1.7627118644067796,13
48,short,2026-03-10T06:40:00Z,2026-03-10T06:45:00Z,Tuesday,6,24958.5,24967.5,2026-03-10T07:00:00Z,Tuesday,7,24967.5,stop,-9.0,9.0,-1.0,4
49,long,2026-03-10T10:50:00Z,2026-03-10T10:55:00Z,Tuesday,10,25058.75,25045.75,2026-03-10T11:00:00Z,Tuesday,11,25045.75,stop,-13.0,13.0,-1.0,2
50,long,2026-03-11T02:40:00Z,2026-03-11T02:45:00Z,Wednesday,2,25089.0,25075.75,2026-03-11T05:05:00Z,Wednesday,5,25075.75,stop,-13.25,13.25,-1.0,28
51,short,2026-03-11T14:10:00Z,2026-03-11T14:15:00Z,Wednesday,14,25102.0,25112.5,2026-03-13T03:25:00Z,Friday,3,24600.0,opposite_signal,502.0,10.5,47.80952380952381,422
52,short,2026-03-13T11:30:00Z,2026-03-13T11:35:00Z,Friday,11,24629.0,24641.25,2026-03-13T11:35:00Z,Friday,11,24641.25,stop,-12.25,12.25,-1.0,1
