original_filename,normalized_filename,canonical_name,extension,file_hash_sha256,family,subfamily,role,priority,status,variant_of,duplicate_of,inferred_from_name,manually_reviewed,source_batch,notes
E_XLB_signal_directional (1).txt,E_XLB_signal_directional.txt,E_XLB_signal_directional,txt,164ea3d5ccb9ca6dc31d65781272e287cf493b734f4ab18d853dc2b90d88b6d4,mgf-breakout-lab,line-break,signal,p1_high,classified,E_XLB_signal,,yes,no,initial_raw_material,
E_XLB_signal_directional.txt,E_XLB_signal_directional.txt,E_XLB_signal_directional,txt,164ea3d5ccb9ca6dc31d65781272e287cf493b734f4ab18d853dc2b90d88b6d4,99-unclassified,duplicates,signal,p1_high,duplicate,E_XLB_signal,E_XLB_signal_directional,yes,no,initial_raw_material,
Integrer_les_bandes_Mogalef_au_trading.mp4,Integrer_les_bandes_Mogalef_au_trading.mp4,Integrer_les_bandes_Mogalef_au_trading,mp4,649778a6b79086af984e656a5defc1bb4706682e45e24b9f873801940ef14bdd,99-unclassified,videos,unknown,p9_archive,classified,,,yes,no,initial_raw_material,video inventory only
Mogalef_Money_Management.txt,Mogalef_Money_Management.txt,Mogalef_Money_Management,txt,c395ef60796bd23997c620cdbf67ed2394d1f42266ea74feec9648f80abc188e,mgf-risk-lab,money-management,risk,p3_low,classified,,,yes,no,initial_raw_material,
Super_Stop_Long.txt,Super_Stop_Long.txt,Super_Stop_Long,txt,51e7ec25cc268a86a74f5af6a2bb5d7b958dfc097a801a1c294f35a1a6c7052b,mgf-stop-lab,super-stop,stop,p3_low,classified,,,yes,no,initial_raw_material,
Super_Stop_Long_5beta.txt,Super_Stop_Long_5beta.txt,Super_Stop_Long_5beta,txt,d145d48bde75cfe462ab98daf774b92317084fb10f23d1a004040199d030eae0,mgf-stop-lab,super-stop,stop,p3_low,classified,Super_Stop_Long,,yes,no,initial_raw_material,
Super_Stop_Short.txt,Super_Stop_Short.txt,Super_Stop_Short,txt,727a967e32c42b1f14de7039356a146c3a13ac52322ac468bc33428220565b75,mgf-stop-lab,super-stop,stop,p3_low,classified,,,yes,no,initial_raw_material,
Super_Stop_Short_5beta.txt,Super_Stop_Short_5beta.txt,Super_Stop_Short_5beta,txt,9c72bf21f2cfbe8230bdf459e904be3ed7435e6d7b30e24e1de3407db60d181e,mgf-stop-lab,super-stop,stop,p3_low,classified,Super_Stop_Short,,yes,no,initial_raw_material,
Webis serie 1.zip,Webis_serie_1.zip,Webis_serie_1,zip,f76be31e05f5a65e77b3de5834077a4ecc7a2ef2fb5cf3ab415e7711043dc782,99-unclassified,manual-review,unknown,p9_archive,needs_review,,,yes,no,initial_raw_material,archive not unpacked in Phase 0
org.py,org.py,org,py,fce5143db25018411c6a0296f0c7307429cccb18d18f9ff13fd0bb51f3db09ba,99-unclassified,manual-review,unknown,p9_archive,needs_review,,,no,no,initial_raw_material,helper script needs manual review
